# Branch cleanup 2026-08-16 — recovery record
# 120 merged branches deleted from mdrewt/monster-realm after verification:
#   - each had a MERGED PR; content confirmed in master; ZERO post-merge commits.
# Restore any one with:  git push origin <sha>:refs/heads/<branch>
# branch<TAB>pr<TAB>sha
chore/0179-subsystems-fix	295	22f5eced36d851a2a418ae1a95ac1b3bcfd1d6aa
chore/14r-a-adr-index	315	c9bc2c419e3fec85386a02afd801c7b47bd5ec4b
chore/EG1-knowledge-regen	280	23f8a70ed2d9aaf15ddb6e075557dc5a59d86917
chore/m10d-adr-index	71	2c9f439635318a23739514ff9daf6f93f4726cd3
chore/m12.5a-adr-index	85	6598da28b14b3cb6810a2f53c9b8862047722bf1
chore/m12b-adr-index	80	b7b7c02d5276b4f188d53ba79c12f7f8fd30b767
chore/m13c-adr-index	117	41b577e6c2376ee718a85a690cd6acfc4e77450d
chore/m14.5a-adr-index	148	85f9a264b2abdb7bd5e53d559f7d14764aa90567
chore/m14.5d-1a-adr-index	163	18c3feb94d6bd872cb4df42794ffdb16b2194210
chore/m14.5d-adr-index	155	c272752f230e153e4f52b0238de9ef04230f55f3
chore/m14b-adr-index	136	9b70d6a040f91252f9402a1c04f1cafab1c7c703
chore/m14c-adr-index	138	f129e8085edf4317778544d20bcb78224f596e97
chore/m14d-adr-index	140	02317004cf7e2d910785e11e62ffef1136c5cdab
chore/m14f-adr-index	143	fbcc8f3d109e5725485b4ff9fc61575121b9b0b2
chore/m15a-adr-index	167	bd1b08f3fa6a80246af7a2dc67a9a5ef480b2118
chore/m15c-adr-index	171	2087c322cdc1f409fd98bf16e8a23539fb7247ac
chore/m16.5f-adr-index	192	1e5df6ea6f5c45c6fa48e2939520d0ddba58c0a8
chore/m16c-adr-index	179	df906bb494d76997da9066b293377f25b1478680
chore/nightly-mut-triage-adr-index	195	4ca0925ea9f6b7fe789e613441c2cd7a8bd704be
chore/uxd2-adr-index	265	91be4cce8e1e0e53b58d78e64f78f8ecde6b18b1
docs/m16.5g-ledger-reconciliation	193	c552a84f75dbe99203585c1b77cc745c23de57fc
feat/11r-d-ledger-reconciliation	270	fd02241007bd85ae620bf4bfbbdd31555c0f4edb
feat/12r-a-append-only-id-baselines	288	50df75de4bf02381fcaedee24bec4ea471665485
feat/12r-e-validator-core-hardening	293	d7c76eff4575036b56b9771428f1d2b1ad86f698
feat/13r-d-schema-gate-order	325	a2264a2e4d437a1aeb5abaa26d1100e03defe9e8
feat/13r-g-docs-ledger-freshness	328	24ff5b849f5ab38e03034881d27a8d0e6c671657
feat/14r-c-scanner-migration	319	ddccc4bf934e5ac4e045d70b6fd9dee5903dc1d7
feat/14r-e-dualkey-dedup-mvi-e2e	318	5eeae8895af08bf594d6631725ed799096b07cdc
feat/fix-nightly-mutants	145	113a146b3c773b6395dbf9305ecd81cc34245051
feat/integration-runtime-isolation	38	4ab77522be7e7a1baacab464038cb499b6c34bd9
feat/m-infra-c	56	98ee39eb9c4368b2ea07e01eaa7c886d53e6a6c8
feat/m10.5a-empty-moveset-invariant	107	feba3325b8302e5f4ae2837edd8246b7a4fd92aa
